field,source_field_id,records,exact_agreement_n,exact_agreement_percent,cohen_kappa,reference_warning
Record validity,record_validity,100,100,100.00,,"One blinded cross-model coding pass; not human coding, a gold standard, or an accuracy estimate"
Privacy-chain relevance,privacy_chain_relevance,100,100,100.00,,"One blinded cross-model coding pass; not human coding, a gold standard, or an accuracy estimate"
Material-creation visibility,material_creation_visibility,100,85,85.00,0.7026169706582078,"One blinded cross-model coding pass; not human coding, a gold standard, or an accuracy estimate"
Material-creation target position,material_creation_target_position,100,77,77.00,0.6135752688172044,"One blinded cross-model coding pass; not human coding, a gold standard, or an accuracy estimate"
Distribution visibility,distribution_visibility,100,99,99.00,0.0,"One blinded cross-model coding pass; not human coding, a gold standard, or an accuracy estimate"
Distribution actor position,distribution_actor_position,100,85,85.00,0.5259165613147914,"One blinded cross-model coding pass; not human coding, a gold standard, or an accuracy estimate"
Distribution actor realization,distribution_actor_realization,100,24,24.00,0.1211840888066605,"One blinded cross-model coding pass; not human coding, a gold standard, or an accuracy estimate"
Distribution target position,distribution_target_position,100,84,84.00,0.6408529741863075,"One blinded cross-model coding pass; not human coding, a gold standard, or an accuracy estimate"
Distribution authorization-language visibility,distribution_authorization_visibility,100,64,64.00,0.2885375494071147,"One blinded cross-model coding pass; not human coding, a gold standard, or an accuracy estimate"
Exposure visibility,exposure_visibility,100,94,94.00,-0.01694915254237288,"One blinded cross-model coding pass; not human coding, a gold standard, or an accuracy estimate"
Exposure target position,exposure_target_position,100,79,79.00,0.5562130177514794,"One blinded cross-model coding pass; not human coding, a gold standard, or an accuracy estimate"
Objectification target position,objectification_target_position,100,72,72.00,0.48453608247422675,"One blinded cross-model coding pass; not human coding, a gold standard, or an accuracy estimate"
Desire-holder position,desire_holder_position,100,93,93.00,0.623655913978495,"One blinded cross-model coding pass; not human coding, a gold standard, or an accuracy estimate"
Pleasure-holder position,pleasure_holder_position,100,92,92.00,0.29078014184397205,"One blinded cross-model coding pass; not human coding, a gold standard, or an accuracy estimate"
Refusal/resistance position,refusal_resistance_position,100,100,100.00,1.0,"One blinded cross-model coding pass; not human coding, a gold standard, or an accuracy estimate"
Attributed-speech position,attributed_speech_position,100,94,94.00,0.38080495356037086,"One blinded cross-model coding pass; not human coding, a gold standard, or an accuracy estimate"
