comparison,field,source_field_id,records,exact_agreement_n,exact_agreement_percent,cohen_kappa,kappa_status,design_weighted_exact_agreement_percent,instruction_context,interpretation
Frozen AI vs human coder 1,Record validity,record_validity,400,400,100.00,,undefined_no_marginal_variation,100.00,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 1,Privacy-chain relevance,privacy_chain_relevance,400,387,96.75,0.903382,defined,97.38,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 1,Material-creation visibility,material_creation_visibility,400,372,93.00,0.803653,defined,93.86,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 1,Material-creation target position,material_creation_target_position,400,362,90.50,0.740029,defined,91.97,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 1,Distribution visibility,distribution_visibility,400,380,95.00,0.859279,defined,96.18,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 1,Distribution actor position,distribution_actor_position,400,377,94.25,0.835805,defined,95.44,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 1,Distribution actor realization,distribution_actor_realization,400,370,92.50,0.724474,defined,94.02,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 1,Distribution target position,distribution_target_position,400,371,92.75,0.801923,defined,94.31,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 1,Distribution authorization-language visibility,distribution_authorization_visibility,400,366,91.50,0.681655,defined,93.42,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 1,Exposure visibility,exposure_visibility,400,374,93.50,0.818499,defined,94.44,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 1,Exposure target position,exposure_target_position,400,369,92.25,0.788161,defined,93.73,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 1,Objectification target position,objectification_target_position,400,312,78.00,0.557689,defined,76.44,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 1,Desire-holder position,desire_holder_position,400,336,84.00,0.424202,defined,83.03,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 1,Pleasure-holder position,pleasure_holder_position,400,360,90.00,0.527787,defined,89.57,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 1,Refusal/resistance position,refusal_resistance_position,400,378,94.50,0.201742,defined,95.30,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 1,Attributed-speech position,attributed_speech_position,400,367,91.75,0.370949,defined,91.20,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 2,Record validity,record_validity,400,400,100.00,,undefined_no_marginal_variation,100.00,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 2,Privacy-chain relevance,privacy_chain_relevance,400,378,94.50,0.835821,defined,94.95,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 2,Material-creation visibility,material_creation_visibility,400,358,89.50,0.703212,defined,90.35,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 2,Material-creation target position,material_creation_target_position,400,349,87.25,0.650703,defined,88.44,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 2,Distribution visibility,distribution_visibility,400,362,90.50,0.730735,defined,91.46,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 2,Distribution actor position,distribution_actor_position,400,364,91.00,0.744223,defined,91.53,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 2,Distribution actor realization,distribution_actor_realization,400,357,89.25,0.617998,defined,90.44,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 2,Distribution target position,distribution_target_position,400,349,87.25,0.650260,defined,89.08,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 2,Distribution authorization-language visibility,distribution_authorization_visibility,400,345,86.25,0.509727,defined,88.16,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 2,Exposure visibility,exposure_visibility,400,361,90.25,0.727378,defined,91.31,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 2,Exposure target position,exposure_target_position,400,355,88.75,0.690301,defined,90.13,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 2,Objectification target position,objectification_target_position,400,313,78.25,0.575392,defined,77.92,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 2,Desire-holder position,desire_holder_position,400,326,81.50,0.342500,defined,80.78,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
Frozen AI vs human coder 2,Pleasure-holder position,pleasure_holder_position,400,369,92.25,0.616028,defined,92.24,"Independent first-exposure, AI-blind human coding",Validation of AI coding accuracy against independent human reference judgments; no overwrite of frozen labels
